EntryTime,OrderTime,ExitTime,Direction,EntryPrice,ExitPrice,EntryReason,ExitReason,PnLAbs,PnLPct,Fees,Outcome
2024-11-05T13:29:59.999000-03:00,2024-11-05T12:59:59.999000-03:00,2024-11-05T17:29:59.999000-03:00,short,2441.87,2415.035080517917,bollinger_signal,bollinger_signal,24.406466941824064,0.009994990290975385,2.4284525402589585,win
2024-11-05T18:59:59.999000-03:00,2024-11-05T17:29:59.999000-03:00,2024-11-05T22:29:59.999000-03:00,long,2415.035080517917,2482.2379930741786,bollinger_signal,bollinger_signal,64.75427601946566,0.02681297532356291,2.448636536796048,win
2024-11-05T22:59:59.999000-03:00,2024-11-05T22:29:59.999000-03:00,2024-11-05T23:59:59.999000-03:00,short,2482.2379930741786,2556.705132866404,bollinger_signal,stop_loss,-76.98661135519552,-0.03101499999999995,2.5194715629702915,loss
2024-11-09T17:29:59.999000-03:00,2024-11-09T16:59:59.999000-03:00,2024-11-10T01:59:59.999000-03:00,short,3071.577364077104,3163.724684999417,bollinger_signal,stop_loss,-95.26497194685142,-0.03101500000000001,3.1176510245382607,loss
2024-11-11T02:29:59.999000-03:00,2024-11-10T18:59:59.999000-03:00,2024-11-11T14:29:59.999000-03:00,long,3139.811023538194,3290.088391217613,bollinger_signal,bollinger_signal,147.06241797204115,0.04683798383710344,3.214949707377904,win
2024-11-11T14:59:59.999000-03:00,2024-11-11T14:29:59.999000-03:00,2024-11-11T20:29:59.999000-03:00,short,3290.088391217613,3388.7910429541416,bollinger_signal,stop_loss,-102.0420914536143,-0.031015000000000008,3.3394397170858774,loss
2024-11-12T10:29:59.999000-03:00,2024-11-12T09:59:59.999000-03:00,2024-11-13T01:59:59.999000-03:00,long,3250.8383748991323,3153.3132236521583,bollinger_signal,stop_loss,-100.72722704624967,-0.030985000000000016,3.2020757992756455,loss
2024-11-14T17:59:59.999000-03:00,2024-11-14T13:29:59.999000-03:00,2024-11-15T06:59:59.999000-03:00,long,3096.7948339972936,3104.1906976729997,bollinger_signal,bollinger_signal,4.2953709098709485,0.001387037611505749,3.100492765835147,win
2024-11-15T07:29:59.999000-03:00,2024-11-15T06:59:59.999000-03:00,2024-11-16T08:59:59.999000-03:00,short,3104.1906976729997,3197.31641860319,bollinger_signal,stop_loss,-96.27647448832835,-0.031015000000000084,3.1507535581380948,loss
2024-11-17T17:29:59.999000-03:00,2024-11-17T00:29:59.999000-03:00,2024-11-17T22:59:59.999000-03:00,long,3062.432810643136,3118.452441410849,bollinger_signal,bollinger_signal,52.92918814168636,0.017283379396190183,3.0904426260269924,win
2024-11-17T23:29:59.999000-03:00,2024-11-17T22:59:59.999000-03:00,2024-11-18T09:29:59.999000-03:00,short,3118.452441410849,3072.6042784018564,bollinger_signal,bollinger_signal,42.75263464908639,0.013709567630842,3.095528359906353,win
2024-11-18T10:29:59.999000-03:00,2024-11-18T09:29:59.999000-03:00,2024-11-18T13:59:59.999000-03:00,long,3072.6042784018564,3174.910488633176,bollinger_signal,bollinger_signal,99.1824528478022,0.03227960513658779,3.1237573835175163,win
2024-11-18T14:29:59.999000-03:00,2024-11-18T13:59:59.999000-03:00,2024-11-19T11:29:59.999000-03:00,short,3174.910488633176,3092.6443923354636,bollinger_signal,bollinger_signal,79.13231885722814,0.024924267673226665,3.13377744048432,win
2024-11-19T11:59:59.999000-03:00,2024-11-19T11:29:59.999000-03:00,2024-11-20T05:59:59.999000-03:00,long,3092.6443923354636,3126.196077506929,bollinger_signal,bollinger_signal,30.442264936544383,0.00984344175230421,3.1094202349211963,win
2024-11-20T06:29:59.999000-03:00,2024-11-20T05:59:59.999000-03:00,2024-11-20T13:59:59.999000-03:00,short,3126.196077506929,3084.0295047250265,bollinger_signal,bollinger_signal,39.06145999078671,0.012494884844823086,3.105112791115978,win
2024-11-20T14:29:59.999000-03:00,2024-11-20T13:59:59.999000-03:00,2024-11-21T02:29:59.999000-03:00,long,3084.0295047250265,3127.705341930999,bollinger_signal,bollinger_signal,40.56996978264457,0.013154857863871768,3.1058674233280126,win
2024-11-21T02:59:59.999000-03:00,2024-11-21T02:29:59.999000-03:00,2024-11-21T09:29:59.999000-03:00,short,3127.705341930999,3221.5365021889293,bollinger_signal,stop_loss,-97.00578117999011,-0.031015000000000056,3.174620922059964,loss
2024-11-22T11:29:59.999000-03:00,2024-11-22T10:59:59.999000-03:00,2024-11-22T21:59:59.999000-03:00,long,3291.910056564512,3345.7905125389148,bollinger_signal,bollinger_signal,50.56160568985088,0.01535935211505072,3.318850284551713,win
2024-11-22T22:29:59.999000-03:00,2024-11-22T21:59:59.999000-03:00,2024-11-23T10:59:59.999000-03:00,short,3345.7905125389148,3446.1642279150824,bollinger_signal,stop_loss,-103.76969274639464,-0.03101500000000006,3.3959773702269986,loss
2024-11-24T10:59:59.999000-03:00,2024-11-24T10:29:59.999000-03:00,2024-11-24T20:59:59.999000-03:00,long,3326.9187368503312,3370.9601899492823,bollinger_signal,bollinger_signal,40.692513635551215,0.012231291730941325,3.3489394633998066,win
2024-11-25T00:59:59.999000-03:00,2024-11-24T20:59:59.999000-03:00,2024-11-25T06:59:59.999000-03:00,short,3370.9601899492823,3472.088995647761,bollinger_signal,stop_loss,-104.55033029127709,-0.031015000000000032,3.4215245927985216,loss
2024-11-25T21:29:59.999000-03:00,2024-11-25T19:59:59.999000-03:00,2024-11-26T08:29:59.999000-03:00,long,3409.069483044579,3306.7973985532417,bollinger_signal,stop_loss,-105.63001793213633,-0.030985000000000013,3.3579334407989103,loss
2024-11-27T01:29:59.999000-03:00,2024-11-27T00:29:59.999000-03:00,2024-11-27T07:59:59.999000-03:00,short,3370.5121516087884,3471.627516157052,bollinger_signal,stop_loss,-104.53643438214657,-0.031014999999999997,3.42106983388292,loss
2024-11-28T12:29:59.999000-03:00,2024-11-28T11:59:59.999000-03:00,2024-11-29T00:29:59.999000-03:00,long,3566.217389249005,3601.2782025083725,bollinger_signal,bollinger_signal,31.47706546348879,0.008826457287315683,3.5837477958786885,win
2024-11-29T11:59:59.999000-03:00,2024-11-29T11:29:59.999000-03:00,2024-11-30T03:29:59.999000-03:00,short,3614.4431969412153,3722.876492849452,bollinger_signal,stop_loss,-112.10195575313202,-0.031015000000000063,3.6686598448953336,loss
2024-12-02T06:59:59.999000-03:00,2024-12-02T06:29:59.999000-03:00,2024-12-03T18:59:59.999000-03:00,long,3609.7670656370897,3627.1863109729343,bollinger_signal,bollinger_signal,13.800768647539595,0.003823174292578319,3.618476688305012,win
2024-12-03T19:59:59.999000-03:00,2024-12-03T18:59:59.999000-03:00,2024-12-04T07:29:59.999000-03:00,short,3627.1863109729343,3736.0019003021225,bollinger_signal,stop_loss,-112.49718343482577,-0.03101500000000006,3.6815941056375285,loss
2024-12-05T16:59:59.999000-03:00,2024-12-05T16:29:59.999000-03:00,2024-12-05T19:29:59.999000-03:00,long,3873.712308859145,3757.5009395933707,bollinger_signal,stop_loss,-120.02697589000073,-0.03098500000000003,3.8156066242262576,loss
2024-12-06T13:29:59.999000-03:00,2024-12-06T12:59:59.999000-03:00,2024-12-08T03:29:59.999000-03:00,short,3998.7042723030913,3973.7980808926714,bollinger_signal,bollinger_signal,20.919940233822096,0.005231679766549243,3.986251176597882,win
2024-12-08T05:29:59.999000-03:00,2024-12-08T03:29:59.999000-03:00,2024-12-08T20:29:59.999000-03:00,long,3973.7980808926714,4009.0036022123236,bollinger_signal,bollinger_signal,31.214120478099737,0.007854984033584268,3.991400841552498,win
2024-12-08T20:59:59.999000-03:00,2024-12-08T20:29:59.999000-03:00,2024-12-09T00:29:59.999000-03:00,short,4009.0036022123236,3938.046553702182,bollinger_signal,bollinger_signal,66.98352343218446,0.016708272198912556,3.9735250779572526,win
2024-12-09T00:59:59.999000-03:00,2024-12-09T00:29:59.999000-03:00,2024-12-09T12:59:59.999000-03:00,long,3938.046553702182,3819.9051570911165,bollinger_signal,stop_loss,-122.02037246646202,-0.030984999999999978,3.8789758553966496,loss
2024-12-11T13:29:59.999000-03:00,2024-12-11T12:59:59.999000-03:00,2024-12-12T00:29:59.999000-03:00,short,3793.070087209345,3906.862189825625,bollinger_signal,stop_loss,-117.6420687547978,-0.031014999999999994,3.8499661385174853,loss
2024-12-12T18:59:59.999000-03:00,2024-12-12T17:59:59.999000-03:00,2024-12-13T12:29:59.999000-03:00,long,3867.030676474808,3948.892893526469,bollinger_signal,bollinger_signal,77.95425526666035,0.020158685510538434,3.9079617850006385,win
2024-12-13T12:59:59.999000-03:00,2024-12-13T12:29:59.999000-03:00,2024-12-14T07:59:59.999000-03:00,short,3948.892893526469,3894.468449844238,bollinger_signal,bollinger_signal,50.50276301054561,0.012789094151764968,3.9216806716853534,win
2024-12-14T08:29:59.999000-03:00,2024-12-14T07:59:59.999000-03:00,2024-12-15T22:59:59.999000-03:00,long,3894.468449844238,4010.057704085395,bollinger_signal,bollinger_signal,111.63699116419224,0.028665527170635377,3.9522630769648166,win
2024-12-15T23:29:59.999000-03:00,2024-12-15T22:59:59.999000-03:00,2024-12-16T09:29:59.999000-03:00,short,4010.057704085395,3917.982370295405,bollinger_signal,bollinger_signal,88.11131375279966,0.021972580011263426,3.9640200371904,win
2024-12-16T09:59:59.999000-03:00,2024-12-16T09:29:59.999000-03:00,2024-12-16T16:29:59.999000-03:00,long,3917.982370295405,4063.010537666197,bollinger_signal,bollinger_signal,141.03767091681104,0.035997525661703576,3.9904964539808008,win
2024-12-16T16:59:59.999000-03:00,2024-12-16T16:29:59.999000-03:00,2024-12-17T13:59:59.999000-03:00,short,4063.010537666197,3938.160920307622,bollinger_signal,bollinger_signal,120.84903162958805,0.029743716022701736,4.000585728986909,win
2024-12-17T15:59:59.999000-03:00,2024-12-17T13:59:59.999000-03:00,2024-12-18T01:29:59.999000-03:00,long,3938.160920307622,3820.016092698393,bollinger_signal,stop_loss,-122.02391611573175,-0.030985000000000023,3.8790885065030074,loss
2024-12-18T19:29:59.999000-03:00,2024-12-18T18:59:59.999000-03:00,2024-12-18T23:29:59.999000-03:00,long,3686.9925493150295,3576.3827728355786,bollinger_signal,stop_loss,-114.24146414052613,-0.030984999999999985,3.631687661075304,loss
2024-12-21T03:59:59.999000-03:00,2024-12-21T03:29:59.999000-03:00,2024-12-21T08:59:59.999000-03:00,short,3517.3361333030366,3426.973523239511,bollinger_signal,bollinger_signal,86.89045523525434,0.02470348352907,3.472154828271274,win
2024-12-21T09:29:59.999000-03:00,2024-12-21T08:59:59.999000-03:00,2024-12-21T18:59:59.999000-03:00,long,3426.973523239511,3324.1643175423255,bollinger_signal,stop_loss,-106.18477461757638,-0.030985000000000037,3.3755689203909185,loss
2024-12-22T08:29:59.999000-03:00,2024-12-22T07:59:59.999000-03:00,2024-12-22T12:29:59.999000-03:00,short,3390.082864863558,3294.1833267385455,bollinger_signal,bollinger_signal,92.5574050292114,0.02730240195262501,3.3421330958010516,win
2024-12-22T12:59:59.999000-03:00,2024-12-22T12:29:59.999000-03:00,2024-12-23T01:29:59.999000-03:00,long,3294.1833267385455,3347.222520969749,bollinger_signal,bollinger_signal,49.71849130734936,0.015092812504935445,3.3207029238541472,win
2024-12-23T07:29:59.999000-03:00,2024-12-23T01:29:59.999000-03:00,2024-12-23T18:29:59.999000-03:00,short,3347.222520969749,3447.6391965988414,bollinger_signal,stop_loss,-103.81410648787671,-0.031014999999999984,3.397430858784295,loss
2024-12-26T02:59:59.999000-03:00,2024-12-26T02:29:59.999000-03:00,2024-12-26T11:59:59.999000-03:00,long,3436.065994453077,3332.9840146194847,bollinger_signal,stop_loss,-106.4665048381287,-0.03098500000000003,3.384525004536281,loss
2024-12-27T00:29:59.999000-03:00,2024-12-26T23:59:59.999000-03:00,2024-12-27T12:59:59.999000-03:00,short,3369.06807543944,3318.6842655523687,bollinger_signal,bollinger_signal,47.039933716575135,0.0139622983754757,3.3438761704959044,win
2024-12-27T13:29:59.999000-03:00,2024-12-27T12:59:59.999000-03:00,2024-12-28T09:29:59.999000-03:00,long,3318.6842655523687,3357.7258856776066,bollinger_signal,bollinger_signal,35.703415049622855,0.010758304253351532,3.3382050756149875,win
2024-12-28T09:59:59.999000-03:00,2024-12-28T09:29:59.999000-03:00,2024-12-29T12:59:59.999000-03:00,short,3357.7258856776066,3371.1884382817507,bollinger_signal,bollinger_signal,-16.827009766123773,-0.0050114304559224,3.364457161979679,loss
2024-12-29T13:29:59.999000-03:00,2024-12-29T12:59:59.999000-03:00,2024-12-29T23:29:59.999000-03:00,long,3371.1884382817507,3416.2779619365792,bollinger_signal,bollinger_signal,41.695790454719386,0.012368276415889458,3.393733200109165,win
2024-12-29T23:59:59.999000-03:00,2024-12-29T23:29:59.999000-03:00,2024-12-30T12:59:59.999000-03:00,short,3416.2779619365792,3312.077503799273,bollinger_signal,bollinger_signal,100.83628040443828,0.02951641568043761,3.3641777328679265,win
2024-12-30T18:59:59.999000-03:00,2024-12-30T12:59:59.999000-03:00,2024-12-31T05:59:59.999000-03:00,long,3312.077503799273,3380.629548785315,bollinger_signal,bollinger_signal,65.2056914597496,0.019687248074645707,3.3463535262922943,win
2024-12-31T06:29:59.999000-03:00,2024-12-31T05:59:59.999000-03:00,2024-12-31T15:59:59.999000-03:00,short,3380.629548785315,3354.358416302508,bollinger_signal,bollinger_signal,22.90363850026302,0.006774962523915839,3.3674939825439116,win
2024-12-31T16:59:59.999000-03:00,2024-12-31T15:59:59.999000-03:00,2025-01-01T17:29:59.999000-03:00,long,3354.358416302508,3356.9517373244657,bollinger_signal,bollinger_signal,-0.7623340548557236,-0.0002272667259260984,3.3556550768134867,loss
2025-01-01T17:59:59.999000-03:00,2025-01-01T17:29:59.999000-03:00,2025-01-02T06:59:59.999000-03:00,short,3356.9517373244657,3457.6602894442,bollinger_signal,stop_loss,-104.11585813311845,-0.031015000000000043,3.407306013384333,loss
2025-01-03T04:29:59.999000-03:00,2025-01-02T19:59:59.999000-03:00,2025-01-03T10:59:59.999000-03:00,long,3436.2011764871954,3482.608863645196,bollinger_signal,bollinger_signal,42.9482821379343,0.012498768242038737,3.459405020066196,win
